Unnamed: 0,X,baseMean,log2FoldChange,lfcSE,pvalue,padj,symbol,entrez
182,ENSMUSG00000007987.13,789.5463724958179,1.7171102141032484,0.05715070987920635,5.65977645688598e-199,5.540361393180254e-197,Ift22,67286.0
183,ENSMUSG00000026360.10,3232.3864903329604,-2.116794766581444,0.07048866276030222,1.4764720033738643e-198,1.437422142738184e-196,Rgs2,19735.0
184,ENSMUSG00000020400.18,3271.7050253301877,2.292124886916017,0.07651958201886067,7.073334379013807e-198,6.848832896549456e-196,Tnip1,57783.0
185,ENSMUSG00000031897.10,3198.6795026262503,2.3737148959002816,0.07935203871226273,1.317377969404976e-197,1.2686705893469758e-195,Psmb10,19171.0
186,ENSMUSG00000030156.6,594.3289022574451,7.307290779457128,0.24361279483275816,1.7262632583791374e-197,1.6535003339399307e-195,Cd69,12515.0
187,ENSMUSG00000073412.7,2092.0290336223334,2.8493026218410717,0.09555886722979622,2.7543151969304603e-196,2.6241112058028383e-194,Lst1,16988.0
188,ENSMUSG00000015396.5,2231.8223018219446,-2.6191489642676733,0.08783884226238782,3.9400457374495035e-196,3.733822066936189e-194,Cd83,12522.0
189,ENSMUSG00000012519.15,1355.9668482018235,2.913922708056038,0.09785476365597713,8.243013248483546e-196,7.77023936693031e-194,Mlkl,74568.0
190,ENSMUSG00000041695.3,683.9224207808483,-3.2671104242838713,0.10992727233782175,4.044247665604743e-195,3.792227179495479e-193,Kcnj2,16518.0
191,ENSMUSG00000024401.15,1340.2740417796044,3.8899315405934862,0.13118270429479226,3.210654694447026e-194,2.994818012370064e-192,Tnf,21926.0
192,ENSMUSG00000027715.10,846.9998597756517,-7.362711468514339,0.24778245633423843,3.490331900072309e-194,3.2387371422754303e-192,Ccna2,12428.0
193,ENSMUSG00000004105.9,2557.7515407697224,-2.9632607081519637,0.10013749000595094,5.605637825560222e-194,5.174613652859114e-192,Angptl2,26360.0
194,ENSMUSG00000015852.14,4766.861489429278,-2.12841851464302,0.07145399782665054,1.4723392289011126e-193,1.3521234897990836e-191,Fcrls,80891.0
195,ENSMUSG00000058715.12,13016.574798016625,1.5457410491389478,0.05220688913916006,3.2609795217688735e-193,2.979364674863295e-191,Fcer1g,14127.0
196,ENSMUSG00000022150.17,12660.110736003679,-3.2163444913761268,0.10878462982575966,3.9770604197798633e-193,3.615066757081533e-191,Dab2,13132.0
